"Budget","Metric","Design","Method_Gear-FMP","N","n","Effect","EPM","Power"
3500000,"RETAINED_CATCH","FIXED_FMP.EQUAL","OB_TRW-GOA",368,22,3.38,3.4,0.06
3500000,"SPECIES","FIXED_FMP.EQUAL","OB_TRW-GOA",368,22,-0.49,-10.1,0.12
3500000,"DURATION","FIXED_FMP.PROX","EM_FIXED-BSAI",89,26,1.1,24.8,0.39
3500000,"RETAINED_CATCH","FIXED_FMP.PROX","EM_FIXED-BSAI",89,26,-2.77,-9,0.07
3500000,"SPECIES","FIXED_FMP.PROX","EM_FIXED-BSAI",89,26,0.1,5.5,0.07
3500000,"DURATION","FIXED_FMP.PROX","EM_FIXED-GOA",986,75,0.08,2,0.06
3500000,"RETAINED_CATCH","FIXED_FMP.PROX","EM_FIXED-GOA",986,75,-0.85,-8.8,0.15
3500000,"SPECIES","FIXED_FMP.PROX","EM_FIXED-GOA",986,75,-0.21,-7.1,0.18
3500000,"DURATION","FIXED_FMP.PROX","EM_TRW-GOA",768,26,-0.12,-7,0.06
3500000,"RETAINED_CATCH","FIXED_FMP.PROX","EM_TRW-GOA",768,26,-4.39,-3.9,0.06
3500000,"SPECIES","FIXED_FMP.PROX","EM_TRW-GOA",768,26,-0.16,-3.2,0.06
3500000,"DURATION","FIXED_FMP.PROX","OB_FIXED-BSAI",361,46,2.21,50.3,0.99
3500000,"RETAINED_CATCH","FIXED_FMP.PROX","OB_FIXED-BSAI",361,46,10.46,28.2,0.27
3500000,"SPECIES","FIXED_FMP.PROX","OB_FIXED-BSAI",361,46,-0.1,-5.3,0.09
3500000,"DURATION","FIXED_FMP.PROX","OB_FIXED-GOA",2077,82,0.43,10.9,0.23
3500000,"RETAINED_CATCH","FIXED_FMP.PROX","OB_FIXED-GOA",2077,82,0.14,1.7,0.05
3500000,"SPECIES","FIXED_FMP.PROX","OB_FIXED-GOA",2077,82,-0.17,-6.3,0.15
3500000,"DURATION","FIXED_FMP.PROX","OB_TRW-BSAI",21,10,0.12,4.3,0.05
3500000,"RETAINED_CATCH","FIXED_FMP.PROX","OB_TRW-BSAI",21,10,-26.83,-39.7,0.16
3500000,"SPECIES","FIXED_FMP.PROX","OB_TRW-BSAI",21,10,-0.38,-11.7,0.07
3500000,"DURATION","FIXED_FMP.PROX","OB_TRW-GOA",368,29,0.23,12.3,0.15
3500000,"RETAINED_CATCH","FIXED_FMP.PROX","OB_TRW-GOA",368,29,3.38,3.4,0.06
3500000,"SPECIES","FIXED_FMP.PROX","OB_TRW-GOA",368,29,-0.49,-10.1,0.15
3500000,"DURATION","FIXED_FMP.STATUS_QUO","EM_FIXED-BSAI",89,27,1.1,24.8,0.39
3500000,"RETAINED_CATCH","FIXED_FMP.STATUS_QUO","EM_FIXED-BSAI",89,27,-2.77,-9,0.07
3500000,"SPECIES","FIXED_FMP.STATUS_QUO","EM_FIXED-BSAI",89,27,0.1,5.5,0.07
3500000,"DURATION","FIXED_FMP.STATUS_QUO","EM_FIXED-GOA",986,296,0.08,2,0.08
3500000,"RETAINED_CATCH","FIXED_FMP.STATUS_QUO","EM_FIXED-GOA",986,296,-0.85,-8.8,0.37
3500000,"SPECIES","FIXED_FMP.STATUS_QUO","EM_FIXED-GOA",986,296,-0.21,-7.1,0.45
3500000,"DURATION","FIXED_FMP.STATUS_QUO","EM_TRW-GOA",768,256,-0.12,-7,0.1
3500000,"RETAINED_CATCH","FIXED_FMP.STATUS_QUO","EM_TRW-GOA",768,256,-4.39,-3.9,0.09
3500000,"SPECIES","FIXED_FMP.STATUS_QUO","EM_TRW-GOA",768,256,-0.16,-3.2,0.11
3500000,"DURATION","FIXED_FMP.STATUS_QUO","OB_FIXED-BSAI",361,10,2.21,50.3,0.73
3500000,"RETAINED_CATCH","FIXED_FMP.STATUS_QUO","OB_FIXED-BSAI",361,10,10.46,28.2,0.13
3500000,"SPECIES","FIXED_FMP.STATUS_QUO","OB_FIXED-BSAI",361,10,-0.1,-5.3,0.06
3500000,"DURATION","FIXED_FMP.STATUS_QUO","OB_FIXED-GOA",2077,59,0.43,10.9,0.18
3500000,"RETAINED_CATCH","FIXED_FMP.STATUS_QUO","OB_FIXED-GOA",2077,59,0.14,1.7,0.05
3500000,"SPECIES","FIXED_FMP.STATUS_QUO","OB_FIXED-GOA",2077,59,-0.17,-6.3,0.12
3500000,"DURATION","FIXED_FMP.STATUS_QUO","OB_TRW-BSAI",21,1,0.12,4.3,0.05
3500000,"RETAINED_CATCH","FIXED_FMP.STATUS_QUO","OB_TRW-BSAI",21,1,-26.83,-39.7,0.06
3500000,"SPECIES","FIXED_FMP.STATUS_QUO","OB_TRW-BSAI",21,1,-0.38,-11.7,0.05
3500000,"DURATION","FIXED_FMP.STATUS_QUO","OB_TRW-GOA",368,10,0.23,12.3,0.09
3500000,"RETAINED_CATCH","FIXED_FMP.STATUS_QUO","OB_TRW-GOA",368,10,3.38,3.4,0.05
3500000,"SPECIES","FIXED_FMP.STATUS_QUO","OB_TRW-GOA",368,10,-0.49,-10.1,0.08
3500000,"DURATION","FMP.CWB","EM_HAL-BSAI",32,2,2.24,35.8,0.12
3500000,"RETAINED_CATCH","FMP.CWB","EM_HAL-BSAI",32,2,0.95,11.9,0.06
3500000,"SPECIES","FMP.CWB","EM_HAL-BSAI",32,2,-0.14,-6.1,0.05
3500000,"DURATION","FMP.CWB","EM_HAL-GOA",690,45,0.18,4.6,0.09
3500000,"RETAINED_CATCH","FMP.CWB","EM_HAL-GOA",690,45,-0.32,-4.3,0.07
3500000,"SPECIES","FMP.CWB","EM_HAL-GOA",690,45,-0.17,-5.5,0.1
3500000,"DURATION","FMP.CWB","EM_POT-BSAI",57,5,0.11,3.2,0.05
3500000,"RETAINED_CATCH","FMP.CWB","EM_POT-BSAI",57,5,-2.58,-5.9,0.05
3500000,"SPECIES","FMP.CWB","EM_POT-BSAI",57,5,0.22,13.3,0.07
3500000,"DURATION","FMP.CWB","EM_POT-GOA",296,23,-0.12,-2.5,0.05
3500000,"RETAINED_CATCH","FMP.CWB","EM_POT-GOA",296,23,-1.61,-10.1,0.07
3500000,"SPECIES","FMP.CWB","EM_POT-GOA",296,23,-0.4,-15.4,0.3
3500000,"DURATION","FMP.CWB","EM_TRW-GOA",768,21,-0.12,-7,0.05
3500000,"RETAINED_CATCH","FMP.CWB","EM_TRW-GOA",768,21,-4.39,-3.9,0.05
3500000,"SPECIES","FMP.CWB","EM_TRW-GOA",768,21,-0.16,-3.2,0.06
